gvfs-smb 1.34.2-1
gzip 1.9-1
harfbuzz 1.7.5-1
harfbuzz-icu 1.7.5-1
haveged 1.9.1-4
hdparm 9.52-1
hexchat 2.12.4-8
hicolor-icon-theme 0.17-1
hspell 1.4-1
htop 2.1.0-1
http-parser 2.7.1-1
hunspell 1.6.2-1
hwids 20171003-1
hwinfo 21.50-1
hyphen 2.8.8-1
i3-gaps 4.14.1-2
i3lock 2.10-1
i3lock-fancy-git r144.3734fba-1
i3status 2.11-3
iana-etc 20180131-1
icu 60.2-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.22-1
imlib2 1.4.10-1
indicator-keylock 3.1.0-1
inetutils 1.9.4-5
iniparser 4.1-1
intel-ucode 20171117-1
intltool 0.51.0-3
inxi 2.3.56-1
iproute2 4.15.0-1
iptables 1.6.1-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
itstool 1:2.0.2+5+g676f3f7-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk8-openjdk 8.u162-0.1
jfsutils 1.1.15-4
jre8-openjdk 8.u162-0.1
jre8-openjdk-headless 8.u162-0.1
js 24.2.0-4
json-c 0.13-1
json-glib 1.4.2-1
jsoncpp 1.8.4-2
kauth 5.43.0-1
kbd 2.0.4-1
kcoreaddons 5.43.0-1
keyutils 1.5.10-1
kitemmodels 5.43.0-1
kmod 24-1
krb5 1.16-1
kvantum-qt5 0.10.5-1
ladspa 1.13-6
lame 3.100-1
lcms 1.19-7
lcms2 2.9-1
ldb 1.3.0-1
ldns 1.7.0-4
less 487-1
lib32-alsa-lib 1.1.5-1
lib32-alsa-plugins 1.1.5-1
lib32-attr 2.4.47-2
lib32-bzip2 1.0.6-2
lib32-dbus 1.12.4-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-flex 2.6.4-1
lib32-gcc-libs 7.3.0-1
lib32-glew 2.1.0-1
lib32-glib2 2.54.2-2
lib32-glibc 2.26-11
lib32-glu 9.0.0-3
lib32-icu 60.1-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcanberra 0.30-4
lib32-libcanberra-pulse 0.30-4
lib32-libcap 2.25-1
lib32-libdrm 2.4.89-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libglvnd 1.0.0-1
lib32-libgpg-error 1.27-1
lib32-libice 1.0.9-3
lib32-libltdl 2.4.6-8
lib32-libogg 1.3.3-2
lib32-libpciaccess 0.14-1
lib32-libpulse 11.1-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libvorbis 1.3.5-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.9-1
lib32-libxml2 2.9.4+16+g07418011-2
lib32-libxmu 1.1.2-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 5.0.1-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.3.5-0
lib32-mesa-demos 8.3.0-3
lib32-ncurses 6.0+20170902-1
lib32-pcre 8.40-1
lib32-primus 20151110-3
lib32-readline 7.0.003-1
lib32-systemd 237.31-1
lib32-tdb 1.3.15-1
lib32-util-linux 2.31.1-1
lib32-wayland 1.14.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.2-1
libaio 0.3.110-1
libao 1.2.2-2
libappindicator-gtk3 12.10.0-12
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.6.2-1
libavc1394 0.5.4-3
libblockdev 2.14-2
libbluray 1.0.1-1
libbonobo 2.32.1-4
libbs2b 3.1.0-6
libbsd 0.8.7-1
libburn 1.4.8-1
libbytesize 1.0-2
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-2
